District code,State name,District name,Population,Male,Female,Male_Literate,Female_Literate,Literate,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households with any usual member covered under a health insurance/financing sche,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to c,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to con,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastoli,Female Moderately or severely elevated blood pressure (%),Female Elevated blood pressure or taking medicine to control blood pressure (%),Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic ,Male Moderately or severely elevated blood pressure (%),Male Elevated blood pressure or taking medicine to control blood pressure (%),Women age 15 years and above who use any kind of tobacco (%),Men age 15 years and above who use any kind of tobacco (%),Average GDP,total facilities
471,gujarat,mahesana,2035064,1056520,978544,847499,655146,1502645,1119451,554432,357578,3603,40.7,19.4,21.6,12.9,5.9,22.6,17.9,6.3,27,7.7,36.9,115692.7143,300
472,gujarat,sabar kantha,2428589,1244231,1184358,918625,660109,1578734,1393131,630963,400905,3590,49.3,13.7,16.6,14.7,6.6,24,16.2,7.6,26.1,6.8,37.8,96361.28571,463
473,gujarat,gandhinagar,1391753,723864,667889,582686,447808,1030494,769329,391862,224886,5676,29.7,18.5,18.7,12.6,5.8,23.9,18.4,7,29.3,7.2,33.8,87471.28571,195
474,gujarat,ahmadabad,7214225,3788051,3426174,3025463,2410297,5435760,3952858,2043895,1198152,19320,36.2,20.3,20.1,8.4,3.3,18.5,8.1,3.5,16.2,6.2,33.4,792790.7143,262
475,gujarat,surendranagar,1756268,909917,846351,643221,450405,1093626,1033435,439352,280582,2899,50.4,16.4,19.3,9.9,3.5,17.1,9.1,3.7,14.7,4.7,47.5,82177,284
476,gujarat,rajkot,3804558,1974445,1830113,1514075,1210981,2725056,2080568,1052871,659576,11543,45.1,16.6,15.4,9.4,2.5,17.8,8.9,2.4,14.5,7.2,53.4,248799.2857,531
477,gujarat,jamnagar,2160119,1114192,1045927,795140,601394,1396534,1220598,576319,358455,4747,38.6,15.3,15.5,8.2,3.2,18.1,7.2,2.9,15,7.7,52,172292.1429,347
478,gujarat,porbandar,585449,300209,285240,221621,172057,393678,314886,163777,105638,1148,42.1,16.4,19.5,8.7,3,15.8,11.4,2.6,16.2,16.7,59.7,,73
479,gujarat,junagadh,2743082,1404356,1338726,1046981,795837,1842818,1527888,749156,461650,4388,47.3,18.5,19.3,12.7,5.6,23.3,14.6,3.8,20.8,13.8,54.4,106843.1429,454
480,gujarat,amreli,1514190,771049,743141,558180,437279,995459,836343,389892,282409,5546,47.7,15.5,17.3,8,4.3,18,6.3,3.1,11.5,5,53.7,63211.57143,294
481,gujarat,bhavnagar,2880365,1490201,1390164,1087371,799884,1887255,1708938,720241,445121,6065,32.2,16.4,17.1,9.8,4.1,20.1,11,3.4,18,9.7,50.9,128635.5714,362
482,gujarat,anand,2092745,1087224,1005521,874481,676772,1551253,1134962,585093,366419,6271,36.2,16.6,15.5,15.9,6.1,26.6,16.6,6.9,26.9,7.3,35.8,,302
483,gujarat,kheda,2299885,1185727,1114158,942480,717763,1660243,1260660,628221,388646,22358,32.2,16,18.2,14,6.3,24,16.7,4.3,24.5,13.5,45.8,80764.28571,377
484,gujarat,panchmahal,2390776,1226961,1163815,858054,582751,1440805,1421859,599925,363391,5601,34,13.8,15.2,14.9,6.4,22.5,20.2,6.5,27.6,7.8,42.2,55791.14286,480
485,gujarat,dahod,2127086,1068651,1058435,599035,408136,1007171,1402616,467115,252153,5202,40.3,11.8,11.4,12.8,4,18.2,12.2,3.8,17.7,14.6,55.9,,659
486,gujarat,vadodara,4165626,2153736,2011890,1614087,1278993,2893080,2213474,1190041,733710,28401,41.7,16.6,15.1,13.8,4.9,24.3,14,5.5,23.8,6.8,29.1,,569
487,gujarat,narmada,590297,301086,289211,211767,158569,370336,336830,157910,93466,2091,51.1,10.8,13.1,12,5.6,19.2,14.5,4.8,20.8,14.6,48.8,,214
488,gujarat,bharuch,1551019,805707,745312,623047,495229,1118276,844298,442523,254728,9470,37.4,18,20.5,14.4,4,23.7,16.4,4.7,24.9,11.2,35.1,121684,276
489,gujarat,the dangs,228291,113821,114470,77314,63654,140968,146095,51821,30027,348,44.3,6.7,9.2,18.3,4,22.9,17.5,5.9,24.1,18.5,44.8,,78
490,gujarat,navsari,1329672,678165,651507,539471,462438,1001909,673014,390349,258957,7352,42,16,16.1,14.9,5.4,23.7,14.8,5.5,22.1,9,29.2,,324
491,gujarat,valsad,1705678,887222,818456,655528,515129,1170657,944532,485874,259906,15366,40.6,13.6,17.2,15.5,5.1,23.8,20.1,7.2,29.3,5.3,32.3,101951.5714,408
492,gujarat,surat,6081322,3402224,2679098,2687468,1883942,4571410,3563443,1740746,723415,53718,31.6,14.6,16.1,15.3,4.9,23.4,17.1,3.9,22.6,7.7,32.5,410271.1429,401
493,gujarat,tapi,807022,402188,404834,269007,221029,490036,422047,235019,144575,5381,42.3,15.8,18.2,16.7,7.6,25.2,19.8,6.6,28,10.8,35.6,,256
494,daman and diu,diu,52074,25642,26432,20327,17731,38058,30475,13932,7599,68,64,17.3,19.4,9.9,3.1,18.1,9.9,4.9,17.7,1.7,34.5,,3
495,daman and diu,daman,191173,124659,66514,104316,46032,150348,122589,52868,15428,288,32.9,12.8,15.6,9.4,4.6,18.4,13.2,4.7,19.9,2.3,36.1,,4
496,dadra and nagar haveli,dadra and nagar haveli,343709,193760,149949,142521,80709,223230,225103,87888,30346,372,58.8,13.4,16.4,6.8,3.9,13.3,8.4,3.3,13.5,3.3,39.8,,40
497,maharashtra,nandurbar,1648295,833170,815125,512099,394410,906509,1011352,390419,241534,4990,15.3,10.4,10.5,13.8,6.4,23.5,17.8,4.7,24.6,26.7,42.6,,325
498,maharashtra,dhule,2050862,1054031,996831,723388,570528,1293916,1167569,513908,350747,18638,19.8,13.4,15.3,10.4,5.8,21.4,15.8,5.3,25.1,0,15.6,59827.42857,185
499,maharashtra,jalgaon,4229917,2197365,2032552,1629223,1262659,2891882,2352671,1080237,763529,33480,11.9,12.8,15.2,10.9,5.4,20.7,15.6,6.2,24.4,12.6,37.7,148841.1429,513
500,maharashtra,buldana,2586258,1337560,1248698,1048892,830982,1879874,1467457,641840,473071,3890,37.9,10.2,9,12.6,4.7,20.1,14.2,3.5,20.5,12,42.5,57658.28571,389
501,maharashtra,akola,1813906,932334,881572,758977,652304,1411281,998769,483200,327932,4005,40.1,9.6,9.8,11.7,4.2,19.4,12.6,4.2,19.1,10.4,44,43808.42857,72
502,maharashtra,washim,1197160,620302,576858,487703,382214,869917,682919,302425,210185,1631,24.1,8.1,9.1,14.4,4.7,21.9,16.2,3.2,21,14.3,39.1,,229
503,maharashtra,amravati,2888445,1480768,1407677,1207104,1044771,2251875,1540590,783549,553265,11041,31.9,10.3,13.1,10.9,4.8,19.8,12,4.1,18.7,9,40.8,67274.85714,328
504,maharashtra,wardha,1300774,668385,632389,552617,466841,1019458,659540,370227,270107,900,27.1,9,10.4,9.8,2.7,17.1,10,1.8,14,9.5,52.6,41287,173
505,maharashtra,nagpur,4653570,2384975,2268595,1959220,1714588,3673808,2460820,1361821,818467,12462,25.6,10.7,12.8,13.2,3.6,21.3,13.2,2.4,18.3,5,40.2,279217.5714,384
506,maharashtra,bhandara,1200334,605520,594814,488709,411151,899860,626978,333120,232754,7482,30,10.5,10.1,12.2,4.7,21.8,11.4,4.1,19.3,19.7,60.7,32705.14286,220
507,maharashtra,gondiya,1322507,661554,660953,542837,461406,1004243,704214,371908,244111,2274,30.6,7.9,10.2,11.6,5.5,21.8,10.9,5,18.9,17.2,55.1,44964.85714,297
508,maharashtra,gadchiroli,1072942,541328,531614,395110,313255,708365,605217,289448,175518,2759,33.3,7.3,10.3,10.4,3.1,17,11.1,3.7,17.2,26.5,61.4,,431
509,maharashtra,chandrapur,2204307,1123834,1080473,872565,706050,1578615,1163802,629890,403719,6896,28.9,8.8,11.3,12.4,4.8,20.7,14,4.1,20.6,11.3,49.1,75441.42857,319
510,maharashtra,yavatmal,2772348,1419965,1352383,1115980,906594,2022574,1549263,733258,483813,6014,29,10.6,10.7,10.5,3.5,17.2,12.3,4,18.2,12.3,46.6,,513
511,maharashtra,nanded,3361292,1730075,1631217,1255222,934203,2189425,2008314,809135,535827,8016,15.7,9.1,12.1,8.9,4.6,16.7,10.2,4.2,17.3,5.7,36.7,79925.71429,430
512,maharashtra,hingoli,1177345,606294,571051,450551,340192,790743,692117,281905,201828,1495,14.7,10.5,10.7,10.7,3.5,17.4,11.4,3.8,17.4,7.8,32.7,,150
513,maharashtra,parbhani,1836086,942870,893216,666291,491523,1157814,1078349,436486,313455,7796,10.5,11.6,13.4,11.2,4.7,21,13.5,3.7,21.6,7,37.7,52566,231
514,maharashtra,jalna,1959046,1011473,947573,699428,496095,1195523,1150104,454836,341479,12627,9.7,11,13,12.5,4.2,21.8,17.9,3.3,24.8,7,32.5,,216
516,maharashtra,nashik,6107187,3157186,2950001,2397538,1947828,4345366,3580633,1567252,948469,10833,14.7,10.3,12,13.3,5.4,22.5,16.6,7.2,26.1,15.4,35,204496.1429,716
517,maharashtra,thane,11060148,5865078,5195070,4591396,3635765,8227161,6184519,3241888,1579921,53820,22.7,15.7,13.9,13.9,6.1,24.5,19.2,7.1,29.7,6.9,24.2,717048.4286,624
518,maharashtra,mumbai suburban,9356962,5031323,4325639,4223029,3352456,7575485,4936360,2812001,1575566,33035,20.2,19.7,21,15.7,4.4,26.6,18,4.6,28,5.9,20,,
519,maharashtra,mumbai,3085411,1684608,1400803,1410680,1098342,2509022,1553005,933586,583243,15577,30.7,17.5,18.2,14.1,2.1,21,16.9,3.3,23.3,5.3,20.3,,
521,maharashtra,pune,9429408,4924105,4505303,3940210,3231513,7171723,5184734,2624165,1586132,34377,14.4,12.3,15.1,14.3,3.7,22.4,16.1,6.4,25.8,11.7,27.9,814384.2857,529
522,maharashtra,ahmadnagar,4543159,2342825,2200334,1773355,1378535,3151890,2496560,1166245,865139,15215,12,11,12.5,13.4,5.1,23.6,16,6.3,25.3,14.7,37.7,171374.5714,720
523,maharashtra,bid,2585049,1349106,1235943,987185,731322,1718507,1473882,614615,494436,2116,9.3,10.5,12.9,15,8,26.4,16.9,5.9,24.1,6,37.8,,355
524,maharashtra,latur,2454196,1273140,1181056,932432,718240,1650672,1406364,584243,453229,10360,33.6,10.2,11.1,11.1,4.9,18.6,13.7,4.2,19.6,3.7,37.5,,298
525,maharashtra,osmanabad,1657576,861535,796041,644304,493506,1137810,917343,393539,343021,3673,14.8,9.5,11.2,14.1,6.3,23.5,18.1,6.4,26.2,8,44.2,60943.28571,226
526,maharashtra,solapur,4317756,2227852,2089904,1651266,1259410,2910676,2402794,1089900,809935,15127,20.5,11.1,12.2,16.2,6.5,25.7,18.9,5,26.2,10.2,39.2,166693,381
527,maharashtra,satara,3003741,1510842,1492899,1201034,1024660,2225694,1517324,800492,671702,14223,11.4,12,12.9,16.4,6.2,27.2,17.7,8.5,29.8,29.5,40.6,111254.5714,318
528,maharashtra,ratnagiri,1615069,761121,853948,619012,580380,1199392,777431,438905,396967,1766,16.6,16.9,16.5,18.2,8.1,32.4,21.1,8.7,33.9,18.4,31.3,78059.85714,409
529,maharashtra,sindhudurg,849651,417332,432319,348289,317778,666067,382024,242296,222963,2368,13.2,20.6,23.4,21.4,6.9,36.6,24,6.7,37.9,11.5,26.8,,341
530,maharashtra,kolhapur,3876001,1980658,1895343,1559760,1266085,2825845,1972486,1084858,801590,17067,16.5,14.2,16.5,17,6.6,31,19.1,7.1,33.2,9.6,25.8,194201.4286,396
531,maharashtra,sangli,2822143,1435728,1386415,1121550,927917,2049467,1450907,752303,603739,15194,12.3,15.2,18,18.2,6.7,30.1,21.6,5.9,32,11.4,31.5,100892.5714,431
532,andhra pradesh,adilabad,2741239,1369597,1371642,856350,626997,1483347,1536378,704551,422522,77788,63.6,10.8,12.8,13,6.5,23.1,15.5,7.4,26.4,11,29.7,95456.85714,746
533,andhra pradesh,nizamabad,2551335,1250641,1300694,790214,599596,1389810,1399773,676401,437573,37588,52.3,13.5,15.6,13.6,6.7,27.1,18.1,9.1,31.2,8.6,20.6,108558.2857,702
534,andhra pradesh,karimnagar,3776269,1880800,1895469,1257238,949591,2206829,1940234,1031735,728494,75806,58.6,16.8,20,11.8,5.8,25,19.5,8.6,34.7,5.7,19.3,133554.4286,631
535,andhra pradesh,medak,3033288,1523030,1510258,953406,683731,1637137,1735769,779738,509368,8413,61.2,14,19.5,13.7,6.6,26.7,15.7,8.4,28.9,6.4,26.2,104227.4286,638
536,andhra pradesh,hyderabad,3943323,2018575,1924748,1542688,1349467,2892155,2249130,1068243,542669,83281,48.9,21.2,26.8,14.2,5.3,30.2,22,10.2,41.7,1.7,12.4,577892.2857,
537,andhra pradesh,rangareddy,5296741,2701008,2595733,1948784,1589244,3538028,2966988,1455864,738037,135852,58.1,11.3,16.3,14.9,6.3,25.7,19.3,10.3,32.6,5.4,27.3,,462
538,andhra pradesh,mahbubnagar,4053028,2050386,2002642,1158386,782260,1940646,2360874,1027525,637430,27199,70.3,10.8,14.2,14,5.6,24.2,16.5,6.5,26.5,7.5,25.3,113535,946
539,andhra pradesh,nalgonda,3488809,1759772,1729037,1160757,840262,2001019,1932349,897137,651748,7575,64.8,13.8,17,10.4,4.8,19.6,15.6,5.9,25.7,4,24.3,124031.8571,1043
540,andhra pradesh,warangal urban,3512576,1759281,1753295,1179790,885233,2065023,1891954,941452,664872,14298,62,17.1,19,10.8,5.6,24.5,17.6,8.5,32.7,1.5,14,,658
541,andhra pradesh,khammam,2797370,1390988,1406382,901640,728594,1630234,1530602,774583,477955,14230,60.4,17.7,17.7,14.9,6.6,27.6,18.1,8.2,30.8,2,19.5,94600.57143,648
542,andhra pradesh,srikakulam,2703114,1341738,1361376,857824,637557,1495381,1423119,747385,528736,3874,75.6,17.4,17.6,12.8,5.9,22.1,14.4,5.5,22.9,7.1,21.3,100342.5714,632
543,andhra pradesh,vizianagaram,2344474,1161477,1182997,707503,530885,1238388,1206366,666394,451469,20245,76.7,14.3,14.5,12.9,6.6,25.2,14.8,6.4,25.1,11.4,21.5,,690
544,andhra pradesh,visakhapatnam,4290589,2138910,2151679,1422878,1145371,2568249,2274553,1245627,716066,54343,64.9,17,18.2,12.1,5.9,23.9,17,7,29.2,6.3,22.8,221235.2857,505
545,andhra pradesh,east godavari,5154296,2569688,2584608,1716933,1571644,3288577,2724328,1478954,948122,2892,66.4,21.7,27.6,13,6.6,29,17.3,7.3,32.2,3.2,25.5,214087.5714,1203
546,andhra pradesh,west godavari,3936966,1964918,1972048,1379223,1273166,2652389,2051513,1127764,755533,2156,67.6,23.8,18.9,14.7,6.1,28.8,17.7,8.7,31.4,2.2,21.8,164393.7143,815
547,andhra pradesh,krishna,4517398,2267375,2250023,1598959,1410759,3009718,2340943,1284630,833959,57866,68.1,23.3,22.5,13.4,4.3,24,18.6,5.1,28.5,1.4,21.3,203421.8571,847
548,andhra pradesh,guntur,4887813,2440521,2447292,1634726,1325715,2960441,2583462,1371811,928462,4078,71.1,22.7,25.9,14.7,5.9,25.8,18,8.5,31.3,1.6,25.4,220364,639
549,andhra pradesh,prakasam,3397448,1714764,1682684,1107686,796749,1904435,1832695,917391,641707,5655,67.6,23.2,30.2,14.6,6.4,27.8,19.8,8.3,33,2.2,28.2,,314
550,andhra pradesh,sri potti sriramulu nellore,2963557,1492974,1470583,1011922,820267,1832189,1574713,840448,544022,4374,72.3,21.8,21.1,12.7,4.5,23,15.3,5.9,25.1,4.4,26.5,,
551,andhra pradesh,y.s.r.,2882469,1451777,1430692,994699,722067,1716766,1553667,793583,530412,4807,73.3,18.4,22.3,13.6,5.7,23.2,17.8,6.9,27.3,3.1,18,,
552,andhra pradesh,kurnool,4053463,2039227,2014236,1246369,880792,2127161,2368684,1053618,609027,22134,73.3,15.1,20.6,18.3,5.1,27,22.2,7.4,31.8,2.1,19.9,133355.7143,629
553,andhra pradesh,anantapur,4081148,2064495,2016653,1338474,972486,2310960,2189396,1104565,739612,47575,73.2,14.2,16.8,12.4,8.5,23.4,16.2,7.7,26.7,5,20.5,136771.2857,580
554,andhra pradesh,chittoor,4174064,2090204,2083860,1484794,1183084,2667878,2148179,1159053,807430,59402,70.7,17.2,22.4,10.7,5.4,22.7,16.8,5.9,27.1,4.3,18.7,133365.4286,426
555,karnataka,belgaum,4779661,2423063,2356598,1725548,1326484,3052032,2669348,1251116,857143,2054,20.7,12.9,12.2,11.6,4.3,19.4,14.7,4.9,22.2,6.6,28.8,127765.1429,660
556,karnataka,bagalkot,1889752,950111,939641,641388,472024,1113412,1123443,465706,299774,829,22.3,11.8,12.8,11.1,3.8,19.1,13.2,4.9,21,10.7,33.7,,211
558,karnataka,bidar,1703300,870665,832635,597198,445475,1042673,1018195,397120,287271,714,21.4,9,12.5,13,4.2,21.2,15.7,5.4,24.1,8.5,31.2,42087.28571,302
559,karnataka,raichur,1928812,964511,964301,577213,402556,979769,1196670,465173,265810,1159,17.8,8.9,9.2,11.2,4.4,18.5,10.4,4.3,16.7,13.5,28.4,53478.71429,235
560,karnataka,koppal,1389920,699926,689994,468785,340300,809085,855430,330393,202984,1113,20.6,9.6,14.5,11.6,5.6,19.5,14.2,5.1,22.2,19.9,34.1,,209
561,karnataka,gadag,1064570,537147,527423,397178,302999,700177,601578,279069,183409,514,28.3,12.1,13.2,12.1,6.8,22.1,14.7,7.1,23.9,8.5,35.6,,188
562,karnataka,dharwad,1847023,937206,909817,711776,589888,1301664,1017935,505688,322577,823,24.5,13.8,14.1,15.1,6,26.6,15,6.1,23.7,6.8,36.8,72637,196
563,karnataka,uttara kannada,1437169,726256,710913,582099,499807,1081906,742281,412649,281542,697,32,12.7,13.8,14.8,7.1,26.9,14.7,6.8,25.1,10.5,26.1,51487.28571,360
564,karnataka,haveri,1597668,819128,778540,603793,481650,1085443,904453,426094,266586,535,28.8,12.7,15.2,11.1,4.7,21.4,14.4,6.9,24.4,9.2,33.1,,346
565,karnataka,bellary,2452595,1236954,1215641,813440,608181,1421621,1487013,617276,346905,1401,25.7,9.2,11.6,12.7,4.8,21.2,14,4.4,20.9,8.2,26.2,91075.28571,311
566,karnataka,chitradurga,1659456,840843,818613,607188,480204,1087392,891230,460057,306412,1757,35.3,15.1,14.4,18.4,8.4,29.7,19.6,8.6,30.6,14.2,36.9,35610.71429,389
567,karnataka,davanagere,1945497,986400,959097,720637,587903,1308540,1068518,538551,336173,2255,25.2,16.1,17.5,12.6,6.5,24.8,17.6,7.4,29.5,8.9,30,,389
568,karnataka,shimoga,1752753,877415,875338,674938,588078,1263016,913150,513297,325542,764,26.5,15.3,16.7,15.4,7.1,27.2,19.3,7.1,28.7,11.3,32,60973.71429,378
569,karnataka,udupi,1177361,562131,615230,465704,460725,926429,559565,340903,276234,659,50.9,16.7,17.7,16.2,8.2,31.2,18.4,9.1,32.5,7,17.4,,339
570,karnataka,chikmagalur,1137961,566622,571339,438257,380088,818345,564994,341380,230864,723,30,15.6,15.7,18.2,7.7,29.2,19,6,28.7,10.9,32.3,54923.85714,414
571,karnataka,tumkur,2678980,1350594,1328386,1006024,807367,1813391,1351461,760936,564196,2387,31,15.4,19.9,16.3,6.5,27.4,22.3,9.4,34,9.8,26.7,66329.14286,619
572,karnataka,bangalore,9621551,5022661,4598890,4078041,3434235,7512276,5275666,2909575,1424195,12115,28.8,19.4,21.3,21.2,5.6,30.7,21.8,7.5,33.5,2.9,20.9,1067304.571,37
573,karnataka,mandya,1805769,905085,900684,638668,510981,1149649,902307,527236,375100,1126,39.9,16.1,18.2,17,7.6,30.1,20.6,6.2,29.8,5.3,20.1,47890.85714,494
574,karnataka,hassan,1776421,883667,892754,668836,556420,1225256,877340,522039,375918,1124,36.9,16.3,18.7,15.7,7.6,28.1,18,8,29.5,10.9,29,60489.57143,558
575,karnataka,dakshina kannada,2089649,1034714,1054935,864019,802304,1666323,1072417,608450,407902,880,36.3,15.4,14.8,17.5,8.6,30.1,18.5,8.1,29.9,4.4,15.1,127656,195
576,karnataka,kodagu,554519,274608,279911,215302,197575,412877,276918,163360,113919,322,45.6,17.4,19.3,16.1,10.6,31.5,19.5,8.6,33.3,8.7,22.2,,204
577,karnataka,mysore,3001127,1511600,1489527,1063766,898414,1962180,1580116,865220,553705,2086,26.2,13.8,14,13.8,7.3,25.5,18.1,6.8,27.4,6.7,22.7,120984.1429,554
578,karnataka,chamarajanagar,1020791,512231,508560,312957,252322,565279,519046,294903,206003,839,34.4,14.1,14.8,16.9,9.3,28.8,18.9,9.1,29.9,2.8,22.4,,264
579,karnataka,gulbarga,2566326,1301755,1264571,828359,599009,1427368,1570719,604665,388935,2007,17.4,11.4,15.1,10.3,3.4,17,16.1,5.5,24.8,11,33.5,,552
580,karnataka,yadgir,1174271,590329,583942,306751,203252,510003,738451,267222,168186,412,16.7,7.7,13.1,10.6,4.5,17.5,11.2,4.5,18,14.6,31.8,,
581,karnataka,kolar,1536401,776396,760005,564110,452109,1016219,841499,419380,274240,1282,33.9,12.5,15.1,13.2,9,24.3,17.9,8.7,27.9,13,19.2,24676.14286,297
582,karnataka,chikkaballapura,1255104,636437,618667,442158,341064,783222,666451,350299,236864,1490,26.1,11.9,16.5,13.5,7.5,24.1,21.3,9.1,32.5,18.2,20.2,,227
583,karnataka,bangalore rural,990923,509172,481751,385311,303438,688749,535765,278153,176083,922,34.9,13.6,17.7,15.6,7.4,26.7,20.9,8,30.8,13.1,24.8,,210
584,karnataka,ramanagara,1082636,548008,534628,378461,296297,674758,559082,297330,224785,1439,35.7,18.2,19.6,16.1,7.3,28.2,17.8,7.9,29.9,3.6,25.9,172292.1429,251
585,goa,north goa,818008,416677,401331,351738,311322,663060,380926,260533,175035,1514,64.8,20.6,24.9,11,4.1,27.3,15.8,5.6,28.3,2.7,19.2,,139
586,goa,south goa,640537,322463,318074,264085,238342,502427,314480,194872,130605,580,67.7,21.1,23.2,13.6,3,27.7,13.5,3.7,25,2.5,16.9,,67
587,lakshadweep,lakshadweep,64473,33123,31350,28023,24530,52553,33877,19244,11237,115,60.1,19.5,20.7,13.9,6.5,24.8,16.6,5.1,24.7,17.5,28.5,,17
588,kerala,kasaragod,1307375,628613,678762,516476,521016,1037492,688763,369883,246975,1754,44,20.4,22.3,13.5,5.3,26.1,15.9,4.6,26,3.5,14.2,,267
589,kerala,kannur,2523003,1181446,1341557,1012956,1125478,2138434,1187177,741984,588081,5761,47.9,23.8,25,17.2,7.6,31,23.3,5.8,34.8,1.7,12.9,123006,371
590,kerala,wayanad,817420,401684,415736,328136,317449,645585,412806,246590,157326,698,64.8,18.3,17.9,15.1,7.2,28.8,17.7,7.4,28.3,10.6,26,,187
591,kerala,kozhikode,3086293,1470942,1615351,1266939,1348504,2615443,1487644,909581,686109,2959,61.1,22.5,23.9,16,6,29.6,18.9,4,28.4,0.8,11.3,143211.5714,427
592,kerala,malappuram,4112920,1960328,2152592,1597404,1713911,3311315,2406005,1041361,662311,3243,42.8,21.4,24,14.3,4.9,25.4,18.5,4.9,27.4,1.5,12.5,165989.1429,523
593,kerala,palakkad,2809934,1359478,1450456,1122600,1116892,2239492,1395222,802611,608966,3135,53.8,24.6,26.3,17.9,7.8,32.4,22.4,8.5,35.3,5.1,22.5,120473.8571,575
594,kerala,thrissur,3121200,1480763,1640437,1282261,1396287,2678548,1394214,931841,792182,2963,48.7,28.3,31.7,14.3,6.1,31.4,18.1,8.2,36.8,2.3,17.8,169114.2857,432
595,kerala,ernakulam,3282388,1619557,1662831,1425723,1429953,2855676,1396968,1024720,858010,2690,46.2,25.8,25.5,15.7,5,29.6,18.1,5.5,30.2,1.4,15.3,317278.4286,328
596,kerala,idukki,1108974,552808,556166,471881,451129,923010,494456,352163,261471,884,58.1,22.8,23.9,17.6,10.1,34.8,18.2,7.9,31.8,3.7,24.8,,185
597,kerala,kottayam,1974551,968289,1006262,861592,888206,1749798,811653,596302,565048,1548,53.2,28.7,29.4,15.4,8.6,34.2,21,9.2,38.8,1.7,18.3,150014.1429,269
598,kerala,alappuzha,2127789,1013142,1114647,890552,962245,1852797,891512,648522,585591,2164,60.4,25.2,25.4,15.2,6.3,32.1,20.5,7.7,36.2,1.8,18.3,118853.2857,274
599,kerala,pathanamthitta,1197412,561716,635696,499181,563372,1062553,479207,346161,370887,1157,50.1,32.1,34.7,17.7,11.7,42.1,24,9.2,41.9,1.5,22.3,,225
600,kerala,kollam,2635375,1246968,1388407,1074345,1165928,2240273,1177359,795245,660965,1806,56,26.2,30.2,16.3,6.6,32.4,18.6,8.2,35.3,1.6,21.5,138133.7143,288
601,kerala,thiruvananthapuram,3301427,1581678,1719749,1354857,1430551,2785408,1488441,989238,820024,3724,48.7,26.1,36.2,12.3,6,31.4,14.5,6.9,32.1,0.8,15,250134.7143,352
602,tamil nadu,thiruvallur,3728104,1876062,1852042,1495711,1296010,2791721,1925296,1154775,643614,4419,57.4,22.5,23.4,13.2,6.3,26.4,19.6,9.3,32.4,1.7,18.3,,170
603,tamil nadu,chennai,4646732,2335844,2310888,1968079,1808197,3776276,2271657,1468902,899279,6894,58.2,27.2,22.1,16,7,28.8,21.1,7.6,33.2,0.7,8.9,993828.7143,
604,tamil nadu,kancheepuram,3998252,2012958,1985294,1611461,1401921,3013382,2076492,1200284,715895,5581,59.7,22.9,24.3,12.2,6.5,24.3,18.9,8.6,32,4.5,17.5,,212
605,tamil nadu,vellore,3936331,1961688,1974643,1504355,1269573,2773928,2096113,1116437,720713,3068,71.4,20.4,21.4,14.1,7.1,25.9,16.8,6.4,25.6,4.3,14.4,,312
606,tamil nadu,tiruvannamalai,2464875,1235889,1228986,909803,717010,1626813,1301347,683904,477668,1956,69.6,18.8,21.8,12.3,3.9,19.2,16.5,6.2,25.8,4.8,17.2,,371
607,tamil nadu,viluppuram,3458873,1740819,1718054,1234479,961297,2195776,1881463,949892,624042,3476,77.6,17.7,19.9,10,4.2,19,16.6,7.1,26.1,8.8,25.1,165989.1429,517
608,tamil nadu,salem,3482056,1781571,1700485,1285107,1000455,2285562,1737345,1029479,713294,1938,67.5,18,22.7,16.4,6.5,26.6,24.2,7.8,34,6.5,23.5,147606.8571,304
609,tamil nadu,namakkal,1726601,869280,857321,653312,522819,1176131,817905,510413,397064,1219,68.8,19.7,24,14.1,7.3,25.6,20.8,8,31.5,6.6,19.8,,182
610,tamil nadu,erode,2251744,1129868,1121876,828300,664362,1492662,1006543,701326,542295,1580,77.7,16.6,16.1,17,9,29.5,25.7,6.7,36.1,11.1,26.2,,249
611,tamil nadu,the nilgiris,735394,360143,375251,299447,270200,569647,352516,231451,150804,623,74.5,13.6,15,20,10.9,34.2,21.9,9.8,32.9,6.8,21.5,50069.71429,107
612,tamil nadu,dindigul,2159775,1080938,1078837,816180,665654,1481834,1065734,647806,443528,2707,71.9,22.1,25.1,16.6,5.7,25.7,24.3,6.8,34.2,6.5,27.7,,258
613,tamil nadu,karur,1064493,528184,536309,401726,325318,727044,501585,320645,241843,420,74.6,23.4,28.9,12.9,7.1,24.1,18.9,6.1,29.1,5.9,25.5,,100
614,tamil nadu,tiruchirappalli,2722290,1352284,1370006,1087765,951216,2038981,1346661,797258,575960,2411,67.8,22.7,26.5,12,5.4,21.4,18.4,6,28.9,3.5,19.8,,256
615,tamil nadu,perambalur,565223,282157,283066,208011,167812,375823,291371,158218,115151,483,75.5,21,23.2,11.7,3.8,19.8,16.7,5.6,26.1,5.5,20.3,,82
616,tamil nadu,ariyalur,754894,374703,380191,269582,211022,480604,380484,216103,157771,536,71.1,22,24.7,12.4,4.5,20.6,18.5,6.3,27.5,8.7,20.7,,128
