District code,State name,District name,Population,Male,Female,Male_Literate,Female_Literate,Literate,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households with any usual member covered under a health insurance/financing sche,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to c,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to con,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastoli,Female Moderately or severely elevated blood pressure (%),Female Elevated blood pressure or taking medicine to control blood pressure (%),Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic ,Male Moderately or severely elevated blood pressure (%),Male Elevated blood pressure or taking medicine to control blood pressure (%),Women age 15 years and above who use any kind of tobacco (%),Men age 15 years and above who use any kind of tobacco (%),Average GDP,total facilities
368,jharkhand,pashchimi singhbhum,1502338,749385,752953,439273,288288,727561,960987,353305,187635,411,46.7,7.5,11.1,12,4.6,17.8,13.1,5.4,19.5,19.9,56.4,,343
369,jharkhand,seraikela kharsawan,1065056,544411,520645,365332,247661,612993,634975,265892,161542,2647,,,,,,,,,,,,,192
370,orissa,bargarh,1481255,749161,732094,557217,426566,983783,787033,410005,282422,1795,45.5,15.7,15.4,14.2,5.1,22.6,17.6,4.8,24.3,21.2,40.1,53880.28571,259
371,orissa,jharsuguda,579505,296690,282815,228092,177787,405879,320156,159477,98555,1317,37.7,16.6,19,11.5,4.6,20.4,17.3,5,25.3,20.6,45.9,,79
372,orissa,sambalpur,1041099,526877,514222,393192,310499,703691,565700,286575,186726,2098,49.3,11.7,16.6,14.3,5,22.2,18.2,4.1,24.5,22.4,50.8,45525,195
373,orissa,debagarh,312520,158230,154290,112649,85170,197819,176062,81789,53989,680,57.5,10.7,16.9,11.8,5.5,20.1,17,7.8,27.5,20.8,59.2,,53
374,orissa,sundargarh,2093437,1061147,1032290,750147,592175,1342322,1188918,573238,324436,6845,39.3,12.4,13.6,12.6,5.4,21.1,17.2,6.5,25.3,21.9,52.2,104235.5714,460
375,orissa,kendujhar,1801733,906487,895246,605119,447399,1052518,1038890,472908,282751,7184,43.3,11.3,15.8,14.4,5.4,24.1,18.4,5.2,25.1,34.9,64.2,64552.85714,420
376,orissa,mayurbhanj,2519738,1256213,1263525,794171,575226,1369397,1449729,650135,414076,5798,46.5,8.8,12.3,14.3,8.9,26.1,19,7.8,28.8,34.9,62.2,44251.57143,684
377,orissa,baleshwar,2320529,1185787,1134742,902359,718873,1621232,1303828,622575,390611,3515,40.6,12.2,13.8,12.1,5.9,22.9,20.2,6.6,29.5,29.8,44.9,,355
378,orissa,bhadrak,1506337,760260,746077,596269,497871,1094140,848660,393629,260486,3562,44.9,13.7,17.5,12.5,5.1,21.7,17,5.9,26.1,34.1,59.8,,232
379,orissa,kendrapara,1440361,717814,722547,579970,509295,1089265,771284,374559,290894,3624,50,15.7,21.6,12.4,5.4,21.9,14.2,6.9,24.8,30.9,54.9,,278
380,orissa,jagatsinghapur,1136971,577865,559106,481049,407978,889027,577896,317148,238753,3174,56.8,16.9,21.4,14.8,7.1,26.2,19.4,7.4,30.2,25.7,51.1,,225
381,orissa,cuttack,2624470,1352760,1271710,1103033,908436,2011469,1372301,743090,499895,9184,42.3,17.8,21.1,12.1,4.6,22.7,16.2,6.8,27.1,25.8,51,94931.71429,394
382,orissa,jajapur,1827192,926034,901158,706396,584059,1290455,1010147,479392,332706,4947,53.9,15.2,17.5,13.6,6.1,23.8,17.6,7.2,28,34.4,58.8,36092.85714,329
383,orissa,dhenkanal,1192811,612593,580218,464093,365817,829910,641697,326233,222398,2483,55.2,14.7,17,13,7.4,25.3,15,7.3,26,28.2,56,34970,205
384,orissa,anugul,1273821,655718,618103,494425,375031,869456,708493,347521,213517,4290,63.1,16.1,18.2,10.2,3.7,18.9,13.5,4.6,21.1,17.2,56.9,,209
385,orissa,nayagarh,962789,502636,460153,392333,296029,688362,502136,262086,196994,1573,49.3,20.7,24,10.4,5.9,22,10.6,5,18.8,16.9,54.3,,201
386,orissa,khordha,2251673,1167137,1084536,957515,792421,1749936,1199521,653346,391701,7105,43.2,22.1,25,10.1,3.8,20.2,14.6,5,25.1,20.1,44.7,,249
387,orissa,puri,1698730,865380,833350,704857,587082,1291939,888134,477430,328666,4500,61.5,20.7,23.1,10.6,4.9,20.8,14.3,5.4,23.3,25.5,52.6,45621.85714,295
388,orissa,ganjam,3529031,1779218,1749813,1262652,947398,2210050,1980232,924756,613249,10794,51.9,15.3,21.8,12.4,7.1,23.4,16.6,9.1,29.7,17.9,45.1,96478.71429,548
389,orissa,gajapati,577817,282882,294935,153663,108874,262537,345387,144043,85072,3315,39.6,10.9,12,12.6,4.1,19.7,16.4,7,24.9,16.5,36.2,,164
390,orissa,kandhamal,733110,359945,373165,233900,165886,399786,436625,177471,117777,1237,54.5,10.5,12.3,16.8,5.7,24.4,17.7,6.2,24.8,25.5,52,,213
391,orissa,baudh,441162,221625,219537,158648,112964,271612,253467,111571,75046,1078,44.7,10.8,15,13.4,5.1,20.9,17.2,5.7,24,19.1,42.7,,83
392,orissa,subarnapur,610183,311312,298871,230393,168028,398421,341561,153760,113450,1412,45.8,13,12.8,15.4,4.6,22.4,15.3,4,20.5,17.9,39.4,101824.5714,398
393,orissa,balangir,1648997,830097,818900,545672,381588,927260,904026,430011,310876,4084,44,10.8,16,14.7,2.7,20.1,18.1,3.5,24.4,23.7,44.2,37660.85714,278
394,orissa,nuapada,610382,301962,308420,180903,118480,299383,344075,152681,112325,1301,45.3,10.6,12.2,13.9,6,21.4,16.7,5.7,23.6,23.7,48.6,,114
395,orissa,kalahandi,1576869,787101,789768,484177,317859,802036,880160,415778,275533,5398,48.6,11.7,14.4,16.5,7.8,26.4,18.7,6.1,26.2,23.2,50.5,26580.42857,298
396,orissa,rayagada,967911,471960,495951,241959,165776,407735,577569,245766,140825,3751,45.5,12.8,16,9.5,7.2,19.5,15.2,8.1,25.1,29.1,47,,280
397,orissa,nabarangapur,1220946,604812,616134,286984,183395,470379,745206,297552,171761,6427,48.4,7.1,10.3,15.7,4,20.8,18,3.4,22.6,34.4,61.2,101824.5714,335
398,orissa,koraput,1379647,678809,700838,340843,227247,568090,818578,348803,207206,5060,54.6,8.1,12.7,13.5,6.7,21.1,17.4,6.4,24.5,32.7,58,30200.42857,366
399,orissa,malkangiri,613192,303624,309568,147001,97705,244706,381913,146355,83284,1640,47,11.6,13.9,10.5,4.9,17.1,13.5,6.3,20.7,33.5,54.9,,178
400,chhattisgarh,koriya,658917,334737,324180,229923,167900,397823,399581,165022,94073,241,62.8,13.4,14.6,14.5,8.5,25.7,20.4,9.1,30.9,17.5,44.4,,157
401,chhattisgarh,surguja,2359886,1193129,1166757,694686,493255,1187941,1441436,561915,355077,1458,65.1,9,12.5,16.7,9.8,28.5,23.6,12.5,37.5,24,49.3,37635.71429,645
402,chhattisgarh,jashpur,851669,424747,426922,280656,214759,495415,488965,214455,148100,149,80.6,8.3,10.4,17.3,10.4,28.5,21.9,11.6,34.4,21.2,55.8,337457.7143,260
403,chhattisgarh,raigarh,1493984,750278,743706,542756,408883,951639,841958,398257,253488,281,66.3,8.1,13.4,15.5,8.7,26.1,22.7,8.6,31.9,19.1,43.6,53880.28571,751
404,chhattisgarh,korba,1206640,612915,593725,433391,315368,748759,729708,309479,166959,494,60.6,9.6,10.2,14.7,7.5,23.9,21.1,10.1,32.7,18.6,42.6,,235
405,chhattisgarh,janjgir   champa,1619707,815717,803990,593679,425955,1019634,975114,383172,260898,523,74,9,11.2,15.1,5.1,21.6,18.1,9.1,28.3,14.8,40.4,,197
407,chhattisgarh,kabeerdham,822526,412058,410468,248503,165664,414167,515971,198517,107854,184,72.1,8.5,9.4,16.5,6.7,24,19.4,6.6,26.5,13.7,40.2,,
408,chhattisgarh,rajnandgaon,1537133,762855,774278,561355,447024,1008379,898915,404418,233068,732,80.8,10.3,8.2,18.5,8.1,27.7,20.3,7.3,28.3,19,47.3,,342
409,chhattisgarh,durg,3343872,1682101,1661771,1284612,1018766,2303378,1919832,898241,523656,2143,67,11.2,12.2,14.5,5.1,22.6,18.5,5.4,26.5,7.2,36.6,112988.4286,430
410,chhattisgarh,raipur,4063872,2048186,2015686,1493158,1136591,2629749,2454299,1038155,560184,11234,76.9,9.2,9.1,11,3.6,17.7,15,4.5,20.6,10.9,37.5,179962.4286,582
411,chhattisgarh,mahasamund,1032754,511967,520787,364089,273874,637963,582544,272009,177826,375,76.2,7.6,8.5,11.7,4.3,17.9,14.3,5.3,21.4,23.7,43.2,,235
412,chhattisgarh,dhamtari,799781,397897,401884,303924,242909,546833,461125,213021,125429,206,86.8,10.1,14.1,13,5.4,21,16.9,6.3,24.9,14.1,38,,173
